0,7：30准时醒 翻来滚去睡不着 哎呀[泪]此时嫉妒?慕那些自然醒接回笼觉的人@飞的三色堇 @linda牛 @追着耗子的猫
1,手艺不错~赞的嘞！//@范范尼: 统一回答吧[哈哈]：稻花香米洗净用香油泡一小时，水是米的1?5倍，锅就是超市三十块的黑砂锅，大火五分钟后铺上香肠等食材转小火五分钟，浇上李锦记港版煲仔饭酱油[ok]对了香肠是荣华的，至于锅巴要看技术了[太阳]多做几次就有惊艳了
1,啥也不说了，你竟然能在这根管上从四点坐到八点，还不换姿势…@许单单-互联网分析师 [哈哈]
0,我在邯郸的设计公司！他们是这样给电脑散热的！[衰]
0,[晕] 有???
0,【米歇尔体验北京公交，彻底晕了！】北京有个最牛的公交站名，包含了东南西北四个方向，叫做“北京西站南广场东”； 去一趟北四环就更有意思了，安慧桥东，安慧桥西，安慧东桥东，安惠东桥西，安慧西桥东，安慧西桥西...另一个则是最考验外国人汉语听力的报站，叫做“前门到了，请您从后门下车”[衰]
0,[晕]//@文怡:我这儿还有让我提前给自己投资墓地的呢好么？瞬间灭你8万公里远[挖鼻屎]
0,多日阴雨，家里容易滋生不明昆虫，注意防范，有些叮咬后会疼痛肿胀！我刚才就被咬了～[泪]疼尼玛湿了～[抓狂]
1,队旗尽快搞定[嘻嘻][爱你][爱你]80哥最近很开心。各路牛人都一起带着爱心去旅行啦！
1,睡的至高境界。。@张熙 @mia327 @翟猫猫 @我是Selina猫眼 @喵语同萌 我爱小大白，爱贪睡的橡皮[亲亲][太开心][馋嘴][爱你]
1,#维多利亚的秘密#这肯定是墨尔本最好猜的一家饭馆[哈哈] @澳洲维多利亚州旅游局 @司马叉  我在:http://t.cn/zQyATI7
0,//@杨东平: 转发。//@湘南客: 中国又多了一项世界第一：破坏力！//@叶匡政: 再转！//@汪永晨: 还我草原！//@索大爷的想象力: 造孽，子孙后代会记得的//@唐师曾:[怒骂]
0,这个谄媚的小矬子是校长？！北大杯具喽[鄙视][鄙视] //@MiTi沛奇--静逸堂简斋闲人:这个对比告诉我们，任何时候，再高兴也别笑到把喉咙处的小舌头儿露出来，太影响气质了[嘻嘻]//@W红蚂蚁B: [笑哈哈][哈哈][嘻嘻][衰]
1,[哈哈] //@白云卓玛:难为人// @小尹的梦 :转发微博
0,今晚与食神戴龙先生聚在@雕爷牛腩 蓝色港湾新店。今天的重头戏是食神戴龙先生亲自料理压轴主菜食神牛腩。果然不同凡响，牛肉软烂香味十足，土豆焦香软糯。雕爷牛腩春季新菜，又添新花样：活体生菜，带着根须的无土栽培蔬菜，直接撕着吃。春意盎然金刚葫芦娃，真够奇思妙想的，今晚又破戒啦。[抓狂]
0,今天发神经，让朋友用推子推了一个难看的发型[泪][泪][泪][泪]，把我两侧和后面都推没了！我回来看不下去又自己剪了十几刀！！！
1,达喀尔，不错[心]//@ladySSstephanie:睡觉。。。不准不准[黑线] 我可一直开跑车的，要不是意大利人不争气，害得我一个零件等半年，也不至于换成现在这俗货啊～[汗][汗] //@笑疯悟: 哈哈！我天蝎，我如愿了，虽然是公开老年组吧[嘻嘻] //@CMCB张然:什么叫睡觉？国际汽联有这项目吗 //@杜远dy:我爱的WRC
1,好活动[鼓掌][鼓掌][鼓掌]
1,上海人民 颤抖吧！我们都回来了！[嘻嘻]
0,留一个，云龙这里木有网 [泪]
0,地铁里有人吐了！我擦啊！[抓狂]
1,《中国经营报》汽车事业部招聘啦！详见长微博↓PS：本报社紧邻颐和园哦！[爱你]
0,五号线疯了吗？每站停半天[晕][晕][怒]
0,好吧，俏江南整合影视圈 //@郭熙妍:跨界整合，即“赢”销 //@杨迪的甜筒乐园: 湘鄂情与足浴[怒][抓狂]
1,貌似都是针对中国说法[哈哈][哈哈]//@厦门王辉: [哈哈]//@戴维斯康: 犀利！
0,[爱你][抓狂][可爱][伤心][生病] 巨蟹都这么像啊~//@安宇918太利控: [花心][困][可爱][生病][书呆子]
0,你那叫喝酒吗，简直酒鬼//@JenaKwok_7星:最近谋划跟新西兰一个酒庄合作，关系到位后，就有新西兰、澳大利亚、法国、加拿大的酒喝了...[泪]
0,[话筒][话筒][泪]很遗憾地通知大家，因场地原因，原定这周日下午举行的“美丽乡村”旅游推介会延期举行，时间地点另行通知！
1,可爱的小树和小哥哥小姐姐们跳的happy玩的也high！[赞][亲亲] //@童星经纪斌斌:小树给力Hold住全场嗯哈~
1,[可爱]萌
1,办理签证确实很麻烦，找一些免签的地方去度假，那岂不是妙哉。[嘻嘻]度假就上@遨游网 @遨游网99gg
