人民日报,官方媒体,1月21日,武汉市民通知,0.6373219,https://weibo.com/2803301701/IqyHisK4l?refer_flag=1001030103_&type=comment#_rnd1598276199162,【#武汉给市民朋友的一封信#：#你能我能武汉能#[加油]】市民朋友们：自我市发现新型冠状病毒感染的肺炎病例以来，一场关系到每一位市民生命健康的疫情防控战已经打响。面对这场突如其来的疫情，广大市民理性对待，积极支持和参与防控工作，特别是广大医护人员，夜以继日地奋战在救治工作第一线，展现出高尚的医德和无私奉献的精神。在此，向广大市民表示衷心的感谢，向广大医护工作者致以崇高的敬意！疫情发生后，党中央、国务院非常重视，习近平总书记作出重要指示，李克强总理作出批示，为我们全面做好疫情防控工作，指明了方向，坚定了信心。国家卫健委的专家组一直在汉开展工作。目前，全市防控工作正按照统一部署有序展开。但疫情防控形势依然严峻，防控疫情，人人有责，每个人都可以为防控出力：出门戴口罩，不要不习惯；勤洗手，不要嫌麻烦；常通风，不要不当回事；不随地吐痰，不乱扔乱倒；少去人多的地方，没有要紧的事不离开武汉；不信谣，不传谣；如果感觉不适，要及时去医院就诊，等等。武汉是一座勇于面对困难、不断战胜困难的城市，类似的情况，我们不是第一次遇到。1998年迎战特大洪水、2003年抗击“非典”，我们一路走过，战果出色。面对新型冠状病毒感染的肺炎疫情，我们坚信，有习近平总书记的亲切关怀，有党中央、国务院的坚强领导和决策部署，有省委省政府的周密安排，我们万众一心、众志成城，认真做好各项防控防护工作，就一定能够打赢这场疫情防控战。从我做起，从现在做起，从每一个卫生习惯做起，你能，我能，武汉能！中共武汉市委武汉市人民政府2020年1月21日????
中国青年报,官方媒体,5月2日,五四致敬战疫青年,0.52475893,https://weibo.com/1726918143/J01SMgPdf?refer_flag=1001030103_&type=comment#_rnd1598276355890,#五四致敬战疫青年# #青春万岁#各地应急响应级别陆续下调，我们正在走向痊愈。回望这些年轻医务人员的脸，不应忘记，正是他们在危难之下，白衣执甲，毅然逆行，为我们筑起血肉长城。感恩提灯天使，致敬最可爱的人！春暖花开，等到疫情完全解除，无论你是从医还是就医，请记住医患之间的休戚与共、唇齿相依，请把感动变为尊重，请说一声#谢谢你保护了我们#
共青团中央,政府机构,4月8日,武汉解封，演唱歌曲,0.1662339,https://weibo.com/3937348351/ICltC5bHd?refer_flag=1001030103_&type=comment,【这曲《手足》，唱出了守望相助的无私与刻骨铭心的感动[武汉加油]】英雄的城，英雄来守护你的付出，我铭心刻骨每一个阵地，你我坚守住冬去春来，花开满树你我并肩看江花日出……4月8日，#武汉解封#。共青团中央社会联络部、@中国新闻社、武汉市委宣传部联合指导，@中新视频、@长江云官方微博、老孙文化联合出品的歌曲《手足》MV，由@孙涌智 作词作曲，湖北代表@杨威YYY @贾玲 @张新成 @蔡文静，全国演员代表@Dear-迪丽热巴 @Crystal张天爱 @魏大勋 @俞灏明 联袂演唱。L共青团中央的秒拍视频
央视新闻,官方媒体,2月13日,正确戴口罩教程，张艺兴,0.42281887,https://weibo.com/2656274875/ItZHWtZCb?refer_flag=1001030103_&type=comment,【#如何科学节约口罩#？跟着张艺兴学起来】张艺兴@努力努力再努力x ：如果你的口罩只是外出或通勤时短暂地戴过，在没有污损、未触碰口罩内部的情况下，在通风处正确存放，口罩是可以再次使用的。科学地重复使用口罩，既要“省”又要“防”，尽可能的保护好自己。#共同战疫#，我们一起努力！L央视新闻的微博视频
中国新闻网,官方媒体,2月1日,湖北红十字会发布声明,0.38851523,https://weibo.com/1784473157/IsceDvd5f?refer_flag=1001030103_&type=comment#_rnd1598277727360,【#湖北红十字会发布声明#：深感痛心、自责、内疚，#湖北红十字会将对责任人追责#】近期，湖北省红十字会捐赠物资分配问题受到媒体和网民的高度关注和质疑，我们对物资分配中存在的问题深感痛心、自责和内疚，对媒体和网民的监督和批评表示衷心的感谢！现就媒体和网民关心的问题说明如下：一、关于分配给仁爱医院口罩的问题。2020年1月26日下午，我单位收到一家爱心企业捐赠KN95口罩3.6万只的意向。KN95口罩不在新型冠状病毒肺炎疫情防控用品清单目录内，我单位根据1月26日上午仁爱医院等单位的紧急求助信息，协调捐赠方于1月27日下午由捐赠方捐赠给武汉科技大学附属天佑医院1.8万只、仁爱医院1.8万只口罩。仁爱医院在1月24日以前，设有发热诊室和隔离观察室。二、关于协和医院3000只口罩的问题。2020年1月26日，一位爱心人士定向捐赠协和医院3000只口罩。三、关于省红十字会内部管理问题。我单位连夜召开党组会议，深刻查找捐赠物资接受分配中的管理问题，对存在的审核把关不严、执行程序不严格、工作不细致、作风不扎实等问题，会党组作出深刻检讨，并将对直接责任人依纪依规追责。下一步，省红十字会将痛定思痛、举一反三、认真整改，进一步压实责任、转变作风，全程接受纪检监察部门监督，接受广大媒体和网民的监督，以更加严谨的工作态度，严格按职责、按规定、按程序接受和使用好社会各界捐赠的款物，竭尽全配合做好疫情防控工作。湖北省红十字会2020年2月1日
努力努力再努力x,娱乐明星,1月31日,张艺兴联名蒙牛致敬,0.5453163,https://weibo.com/2706896955/Is5bHoD0T?refer_flag=1001030103_&type=comment,#勇战疫情中国要强# 我为中国加油！我和蒙牛一起向奋战中的白衣天使致敬！#抗击新型肺炎企业公益在行动# //@纯甄:万众一心，全力战“疫”！中国加油！用心守护，我们一定赢！@蒙牛乳业#勇战疫情中国要强##蒙牛集团追加捐赠6.6亿，向白衣天使致敬#[中国赞]疫情无情人有情，在中粮集团领导下，在已经捐赠8000万款物基础上，蒙牛集团31日宣布追加捐赠6.6亿产品，助力白衣天使！这是9天内蒙牛的第6次捐赠。蒙牛是全国第一家开展捐赠，并将产品最先送达武汉医院的乳企。中国加油！@微公益 ????
UNINE_李汶翰,娱乐明星,2月11日,#记录抗疫时光 菜品推荐,0.8308037,https://weibo.com/5619426492/ItHV7aa92?refer_flag=1001030103_&type=comment#_rnd1598278584291,#记录抗疫时光# #全民抗疫特别节目# 想给老爸老妈做个菜，大家有什么菜品推荐？从评论里面选一个，厨神要显身手了[doge][doge][doge] O绿洲 ????
叫人家楚倩了啦,普通用户,1月24日,野味东北讨论,0.98364323,https://weibo.com/3197090834/IqZw4BX7a?refer_flag=1001030103_&type=comment#_rnd1598278536524,#辽宁累计确诊4例新型肺炎#沈阳也有，朝阳也有[泪]我们东北人除了蘸酱菜啥都不生吃啊，冬天都是买几百斤大白菜炖着吃，野菜也就吃点木耳、蘑菇、婆婆丁，野生动物我们这都是东北虎啊熊瞎子我们也打不过，也跑不过，更不敢吃啊，放过东北吧[泪] ????
互联网俊明说,自媒体,2月27日,钟南山提醒病毒相关知识,0.67437327,https://weibo.com/1746575865/Iw7HBxMUK?refer_flag=1001030103_,#每日知新#NO.145 #钟南山 身体里出现足够抗体不会再感染#。他指出，一般来说，病毒的感染规律都一样，只要身体里出现了IgG抗体，且增高了很多，病人不会再感染。至于肠道、粪便里还有些残余，是病人有自己的规律。同时他表示，现在形势变化了，国外涨得比国内快，建议发展得很快、病毒蔓延得很快的国家，应该参考我们，早发现，早隔离。之前他也预测此次病毒极可能来自野生动物， R互联网俊明说的微博投票
山东省教育厅,政府机构,5月14日,山东开学复课,0.26666024,https://weibo.com/2486759125/J1RKS2uPq?refer_flag=1001030103_,#山东开学时间# 【山东各学段复学复课时间确定！】经省委新冠肺炎疫情处置工作领导小组（指挥部）研究同意，高中（含中职、技工类院校，下同）、初中学校和高校非毕业年级及小学、幼儿园、特教学校自5月中下旬起陆续复学复课。通过开学条件核验的高校（含驻鲁部属高校）非毕业年级学生5月18日—28日陆续返校复课，具体时间由驻地市会同高校研究确定。高中和初中非毕业年级、小学3—6年级5月18日—28日陆续复学复课；小学1—2年级、幼儿园自6月上旬起陆续复学复课；特教学校、校外培训机构6月份复学复课。没有毕业年级的高中、初中学校和小学、幼儿园、特教学校、校外培训机构复学复课前须通过开学条件核验，核验不合格不得开学。各地按照属地管理原则，综合考虑区域疫情风险等级和学生学段、年级、就读方式、生源地等因素，分期分批组织错时错峰复学复课。高中非毕业年级具体复学复课时间，由各市按照“市域同步”原则确定；初中非毕业年级、小学、幼儿园具体复学复课时间，由各县（市、区）按照“县域同步”原则确定。原则上，特教学校在普通中小学、幼儿园全部复学后再复课；校外培训机构在普通中小学复学后再安排线下复课。
